央视频道,#genre#
CCTV-1综合,rtsp://115.233.43.110:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.108:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.111:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.107:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.106:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.105:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.104:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.103:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.101:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-1综合,rtsp://115.233.43.100:554/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-2财经,rtsp://115.233.43.110:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.111:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.108:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.107:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.106:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.105:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.104:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.103:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.101:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-2财经,rtsp://115.233.43.100:554/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-3综艺,rtsp://115.233.43.111:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.110:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.108:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.107:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.106:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.105:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.104:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.103:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.101:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-3综艺,rtsp://115.233.43.100:554/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-4中文国际,rtsp://115.233.43.101:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.111:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.110:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.108:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.107:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.106:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.105:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.104:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.103:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-4中文国际,rtsp://115.233.43.100:554/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-5体育,rtsp://115.233.43.106:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.111:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.110:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.108:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.107:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.105:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.104:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.103:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.101:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5体育,rtsp://115.233.43.100:554/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-5+体育赛事,rtsp://115.233.43.106:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.111:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.110:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.108:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.107:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.105:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.104:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.103:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.101:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-5+体育赛事,rtsp://115.233.43.100:554/PLTV/88888913/224/3221229201/52583204.smil
CCTV-6电影,rtsp://115.233.43.110:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.111:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.108:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.107:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.106:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.105:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.104:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.103:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.101:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-6电影,rtsp://115.233.43.100:554/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-7国防军事,rtsp://115.233.43.100:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.101:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.111:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.110:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.108:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.107:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.106:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.105:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.104:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-7国防军事,rtsp://115.233.43.103:554/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-8电视剧,rtsp://115.233.43.110:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.111:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.108:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.107:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.106:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.105:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.104:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.103:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.101:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-8电视剧,rtsp://115.233.43.100:554/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-9纪录,rtsp://115.233.43.103:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.111:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.110:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.108:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.107:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.106:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.105:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.104:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.101:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-9纪录,rtsp://115.233.43.100:554/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-10科教,rtsp://115.233.43.111:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.110:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.108:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.107:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.106:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.105:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.104:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.103:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.101:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-10科教,rtsp://115.233.43.100:554/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
